Commodity,Sub-Category,Item description,Enriched Description,Final Search Term,CAS Number,INCI Name,Synonyms,Parameters
Oil Vegetable,Glycerin,GLYCERIN,GLYCERIN (Raw Desc),GLYCERIN (Raw Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN CP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,nan,GLYCERINE,GLYCERINE (Raw Desc),GLYCERINE (Raw Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN CP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN CP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN CP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,U - GLYCERINE USP 99.7%,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,U - GLYCERINE USP 99.7%,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL (NON-KOSHER),Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN 99,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,POLYGLYCEROL OLEATE ESTER (Emulsogen),AU - POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE (Clean Desc),POLYGLYCEROL OLEATE (Clean Desc),9007-48-1,N/A,"1,2,3-Propanetriol, homopolymer, (9<em>Z</em>)-9-octadecenoate|1,2,3-Propanetriol, homopolymer, (<em>Z</em>)-9-octadecenoate|Emcol 12-14-18|Demal 14|Polyglyceryl oleate|Polyglycerol oleate|Oleic acid polyglyceride|Santone 3-1SH|Estax 50|Polyglycerin oleate",{}
Oil Vegetable,Glycerin,"*GLYCERINE ,KG,EU",Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,"*GLYCERINE ,KG,EU",Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,Glycerine EP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERINE,GLYCERINE (Raw Desc),GLYCERINE (Raw Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,COGNIS GLYCEROL DRUM,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERINE  99.8% EP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN (GLYCEROL),Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN (GLYCEROL),Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERINE-PHARMA,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,nan,GLYCERIN,GLYCERIN (Raw Desc),GLYCERIN (Raw Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,nan,"*GLYCERINE ,KG,EU",GLYCERINE (Clean Desc),GLYCERINE (Clean Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,nan,"GLYCERIN, USP",GLYCERIN (Clean Desc),GLYCERIN (Clean Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Surfactant Nonionic,POLYGLYCEROL OLEATE ESTER (Emulsogen),AU - POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE (Clean Desc),POLYGLYCEROL OLEATE (Clean Desc),9007-48-1,N/A,"1,2,3-Propanetriol, homopolymer, (9<em>Z</em>)-9-octadecenoate|1,2,3-Propanetriol, homopolymer, (<em>Z</em>)-9-octadecenoate|Emcol 12-14-18|Demal 14|Polyglyceryl oleate|Polyglycerol oleate|Oleic acid polyglyceride|Santone 3-1SH|Estax 50|Polyglycerin oleate",{}
Oil Vegetable,Glycerin,COGNIS GLYCEROL  (KOSHER),Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,COGNIS GLYCEROL DRUM,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL 99%,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL 99%,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL 99%,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL 99%,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL 99%,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL 99%,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,Glycerine Pharma,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Surfactant Nonionic,POLYGLYCEROL OLEATE ESTER (Emulsogen),POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE (Clean Desc),POLYGLYCEROL OLEATE (Clean Desc),9007-48-1,N/A,"1,2,3-Propanetriol, homopolymer, (9<em>Z</em>)-9-octadecenoate|1,2,3-Propanetriol, homopolymer, (<em>Z</em>)-9-octadecenoate|Emcol 12-14-18|Demal 14|Polyglyceryl oleate|Polyglycerol oleate|Oleic acid polyglyceride|Santone 3-1SH|Estax 50|Polyglycerin oleate",{}
Surfactant Nonionic,POLYGLYCEROL OLEATE ESTER (Emulsogen),POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE (Clean Desc),POLYGLYCEROL OLEATE (Clean Desc),9007-48-1,N/A,"1,2,3-Propanetriol, homopolymer, (9<em>Z</em>)-9-octadecenoate|1,2,3-Propanetriol, homopolymer, (<em>Z</em>)-9-octadecenoate|Emcol 12-14-18|Demal 14|Polyglyceryl oleate|Polyglycerol oleate|Oleic acid polyglyceride|Santone 3-1SH|Estax 50|Polyglycerin oleate",{}
Surfactant Nonionic,POLYGLYCEROL OLEATE ESTER (Emulsogen),POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE (Clean Desc),POLYGLYCEROL OLEATE (Clean Desc),9007-48-1,N/A,"1,2,3-Propanetriol, homopolymer, (9<em>Z</em>)-9-octadecenoate|1,2,3-Propanetriol, homopolymer, (<em>Z</em>)-9-octadecenoate|Emcol 12-14-18|Demal 14|Polyglyceryl oleate|Polyglycerol oleate|Oleic acid polyglyceride|Santone 3-1SH|Estax 50|Polyglycerin oleate",{}
Surfactant Nonionic,POLYGLYCEROL OLEATE ESTER (Emulsogen),POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE (Clean Desc),POLYGLYCEROL OLEATE (Clean Desc),9007-48-1,N/A,"1,2,3-Propanetriol, homopolymer, (9<em>Z</em>)-9-octadecenoate|1,2,3-Propanetriol, homopolymer, (<em>Z</em>)-9-octadecenoate|Emcol 12-14-18|Demal 14|Polyglyceryl oleate|Polyglycerol oleate|Oleic acid polyglyceride|Santone 3-1SH|Estax 50|Polyglycerin oleate",{}
Surfactant Nonionic,POLYGLYCEROL OLEATE ESTER (Emulsogen),POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE (Clean Desc),POLYGLYCEROL OLEATE (Clean Desc),9007-48-1,N/A,"1,2,3-Propanetriol, homopolymer, (9<em>Z</em>)-9-octadecenoate|1,2,3-Propanetriol, homopolymer, (<em>Z</em>)-9-octadecenoate|Emcol 12-14-18|Demal 14|Polyglyceryl oleate|Polyglycerol oleate|Oleic acid polyglyceride|Santone 3-1SH|Estax 50|Polyglycerin oleate",{}
Surfactant Nonionic,POLYGLYCEROL OLEATE ESTER (Emulsogen),POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE (Clean Desc),POLYGLYCEROL OLEATE (Clean Desc),9007-48-1,N/A,"1,2,3-Propanetriol, homopolymer, (9<em>Z</em>)-9-octadecenoate|1,2,3-Propanetriol, homopolymer, (<em>Z</em>)-9-octadecenoate|Emcol 12-14-18|Demal 14|Polyglyceryl oleate|Polyglycerol oleate|Oleic acid polyglyceride|Santone 3-1SH|Estax 50|Polyglycerin oleate",{}
